Name,Scholar ID,Affiliation
Emerson Raja,gMsouycAAAAJ,"Senior Lecturer in FET, Multimedia University"
Ooi Chee Pun,FcLgcD8AAAAJ,Multimedia University
Lim Tek Yong,ccfS5TQAAAAJ,"Multimedia University, Malaysia"
Sellywati Mohd Faizal,F6c04WcAAAAJ,Multimedia University
Md. Akkas Ali,yktl1xgAAAAJ,"Ph.D Scholar, Multimedia University, Malaysia & Assistant Professor, CSE, GSTU,Gopalganj …"
Gooi Mee Chen,ju00YdkAAAAJ,Multimedia University
Hu Ng,i8qFntYAAAAJ,"Assistant Professor, Multimedia University"
Katrina D Dambul,om33VaYAAAAJ,Multimedia University
Cheah Yeh Ying,QKxf2OoAAAAJ,Multimedia University
Dr. Ir. Lim Chot Hun,QkNfSEMAAAAJ,Senior Lecturer @ Multimedia University
joon liang tan,0YaOXaAAAAAJ,"Assistant Professor in Bioinformatics, Multimedia University (https://mmuexpert.mmu.edu.my …"
Siti Azlida ibrahim,6JS9zDoAAAAJ,Multimedia University
Chee Weng Khong,E2wl-poAAAAJ,Multimedia University
Tan Seng Huat,0_UHYYUAAAAJ,Multimedia University
Tan Yi Fei,kldQlacAAAAJ,Multimedia University
Wan-Noorshahida Mohd-Isa,8NLSg0wAAAAJ,Multimedia University
Md. Zubair Hassan Tarif (HT Zubair),NTJmSnIAAAAJ,"Multimedia University, Cyberjaya"
Mian-En Yeoh,7bij-kEAAAAJ,Multimedia University
Pei Kian Tan,ZEvUypAAAAAJ,"Lecturer, Multimedia University, Malaysia"
NMJizat,-i8UyY0AAAAJ,Multimedia University
Md. Tanjil Sarker,x3JKpz8AAAAJ,"Faculty of Artificial Intelligence and Engineering, Multimedia University,Cyberjaya, Malaysia."
Yap Wen Jiun,l2W1KDAAAAAJ,"Faculty of Engineering, Multimedia University"
Heidi Tan Yeen-Ju,13c-g7wAAAAJ,"Lecturer, Multimedia University"
Abdulfatah Abushagur Ghaith Abushagur,Te7B-XAAAAAJ,Multimedia University [MMU]
Aziah Ali,rSEUe7IAAAAJ,Multimedia University
Sharaf Horani,Urx4iN4AAAAJ,"Specialist, Faculty of Computing and Informatics, MMU"
Chew Sze Cheah,UOKO1L0AAAAJ,Multimedia University
Yew-Chiong Lo,SVACrAwAAAAJ,Multimedia University
Wee kuokkwee,KZp65HwAAAAJ,Multimedia University
Norhazlin Ismail,5OtlaeYAAAAJ,Multimedia University
weehow khoh,YbkAa8MAAAAJ,"Lecturer, Multimedia University"
Check-Yee Law,aAV4sIgAAAAJ,Multimedia University
